zone_type,feature,nedt_k_approx,n_control_samples,n_control_windows,mean_samples_per_window,sigma_control_sample_k,sigma_control_window_mean_k,sigma_control_within_event_k,n_events_within_event_sigma,n_control_null_pairs_within_event,sigma_control_paired_robust_mean_se_k,sigma_eff_theory_k,n_events_with_pairs,mean_event_control_delta_k,mean_abs_event_control_delta_k,z_eff_abs_vs_empirical_sigma,z_eff_abs_vs_empirical_within_event_sigma,z_eff_abs_vs_empirical_paired_robust_sigma,z_eff_abs_vs_theory_sigma,z_eff_mean_vs_empirical_sigma,frac_events_abs_delta_gt_2sigma_empirical,frac_events_abs_delta_gt_2sigma_empirical_within_event,frac_events_abs_delta_gt_2sigma_empirical_paired_robust,frac_events_abs_delta_gt_2sigma_theory,criterion_gt_2sigma_empirical,criterion_gt_2sigma_empirical_within_event,criterion_gt_2sigma_empirical_paired_robust,criterion_gt_2sigma_theory
1,BT_23_H,0.6,114389,32,3574.65625,38.716940031301725,25.20015775535278,1.071529027256138,15,15,0.22869538043995483,0.010035386602193216,17,-0.9944623902567588,2.205836035700225,0.08753262805395265,2.0585872893697568,9.645302110854745,219.80578558061168,0.03946254622336737,0.0,0.4117647058823529,0.7058823529411765,0.9411764705882353,False,True,True,True
1,BT_23_V,0.6,114389,32,3574.65625,20.81683547275724,13.863286916889306,0.5826437876423682,15,15,0.1301955088491059,0.010035386602193216,17,-0.4787282169261406,1.114045987099602,0.08035944100257976,1.9120533175296002,8.556715949324795,111.01176579048078,0.03453208606271559,0.0,0.4117647058823529,0.7058823529411765,1.0,False,False,True,True
1,BT_36_H,0.3,114389,32,3574.65625,48.202203917274204,26.92257165944533,1.121161048560953,15,15,0.24016476484231597,0.005017693301096608,17,-1.1669738216195975,2.27410563695618,0.08446836601355458,2.0283487727967975,9.468939535944335,453.2173452010664,0.0433455554090868,0.0,0.4117647058823529,0.9411764705882353,1.0,False,True,True,True
1,BT_36_V,0.3,114389,32,3574.65625,23.823214895694363,13.66001882956504,0.5205535055234086,15,15,0.10467169355237207,0.005017693301096608,17,-0.5046838895848796,0.9916302407997264,0.07259362180771618,1.9049535355691387,9.47371927543685,197.62671436753766,0.03694606104733676,0.0,0.47058823529411764,0.8823529411764706,1.0,False,False,True,True
1,BT_89_H,0.6,114389,32,3574.65625,19.16470998000122,12.320369527023082,0.784421383032622,15,15,0.23583421447290845,0.010035386602193216,17,-0.2051542966342013,1.2699896680422753,0.10308048514752118,1.6190145953599786,5.385095079951454,126.55114530064256,0.01665163501664644,0.0,0.35294117647058826,0.6470588235294118,1.0,False,False,True,True
1,BT_89_V,0.6,114389,32,3574.65625,9.494372781547467,5.164408024556048,0.513775905859774,15,15,0.11817886515541122,0.010035386602193216,17,0.12551845058845523,0.6103558593820989,0.11818505750900025,1.1879806982398369,5.164678629968649,60.82036333794123,0.024304518541453796,0.0,0.17647058823529413,0.8235294117647058,1.0,False,False,True,True
2,BT_06_H,0.3,69854,18,3880.777777777778,87.12228211027693,29.88086438397886,0.8759183197774795,9,9,0.2737022089921942,0.0048157270912277,9,-0.5355012975727347,2.427842040278585,0.08125072986778503,2.7717676242864293,8.870377952805727,504.148593615516,0.017921211739103937,0.0,0.5555555555555556,0.8888888888888888,1.0,False,True,True,True
2,BT_06_V,0.3,69854,18,3880.777777777778,50.79662847469164,16.940972620322214,0.7585242189469116,9,9,0.1304107313040271,0.0048157270912277,9,-0.4302376820279663,1.6612688042741013,0.09806218577328084,2.190132843194519,12.738743105436454,344.9673897219505,0.02539627987544574,0.0,0.4444444444444444,1.0,1.0,False,True,True,True
2,BT_10_H,0.6,69854,18,3880.777777777778,84.50119310372457,28.90863758106755,0.9182397813236702,9,9,0.28603558813007596,0.0096314541824554,9,-0.5373778040119469,2.1986496931646937,0.07605511283605434,2.3944178175283084,7.686629861473209,228.27806180812664,0.01858883188476094,0.0,0.5555555555555556,0.8888888888888888,1.0,False,True,True,True
2,BT_10_V,0.6,69854,18,3880.777777777778,47.2447915864772,15.895384219515227,0.750480906198738,9,9,0.16356039784950563,0.0096314541824554,9,-0.44005836762740574,1.4745332912868383,0.09276487255190162,1.9647845522886107,9.01522196493786,153.0956035665766,0.027684663770953914,0.0,0.4444444444444444,1.0,1.0,False,False,True,True
2,BT_23_H,0.6,69854,18,3880.777777777778,40.375294789770145,15.476059206290685,1.657927255071142,9,9,0.300556986702944,0.0096314541824554,9,0.3975800227782524,1.9576460321411402,0.12649512424619047,1.1807792085890627,6.513393861231324,203.25549964274103,0.025690003991238587,0.0,0.2222222222222222,0.8888888888888888,1.0,False,False,True,True
2,BT_23_V,0.6,69854,18,3880.777777777778,21.38484789178411,8.294807721277373,1.1317978950482679,9,9,0.12365258720131027,0.0096314541824554,9,0.13964087198180172,1.149832530306911,0.13862075758036266,1.0159345015020318,9.298895852740612,119.38306599655938,0.016834732844210824,0.0,0.1111111111111111,0.8888888888888888,1.0,False,False,True,True
2,BT_36_H,0.3,69854,18,3880.777777777778,52.34532892084062,17.375244337075674,1.1943569406491845,9,9,0.13441715779127703,0.0048157270912277,9,-0.10809332731163421,1.5342481544928432,0.08830081032121265,1.2845809341208443,11.414079717971896,318.5911754193091,0.006221111209410869,0.0,0.3333333333333333,0.7777777777777778,1.0,False,False,True,True
