feature,freq_code,pol,variable,theta_deg,surface_temp_k,atm_temp_k,tau_band,eps_ref,delta_eps_frac,reflectivity_ref,emissivity_ref,tb_ref_k,tb_plus_k,tb_minus_k,delta_tb_plus_k,delta_tb_minus_k,dTB_dEps_k_per_unit,dTB_dLnEps_k
BT_36_H,36,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,4.0,0.05,0.27211517919682526,0.7278848208031747,223.36159269203813,220.43042086667168,226.45791687804922,-2.931171825366448,3.0963241860110884,-15.068740028443827,-60.27496011377531
BT_36_H,36,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,10.0,0.01,0.4675802362553282,0.5324197637446718,171.75881762859333,171.24682707597725,172.27714347120784,-0.5119905526160835,0.5183258426145017,-5.151581976152944,-51.51581976152944
BT_36_H,36,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,10.0,0.05,0.4675802362553282,0.5324197637446718,171.75881762859333,169.2596039523,174.41662218876377,-2.499213676293323,2.657804560170433,-5.157018236463756,-51.57018236463756
BT_36_H,36,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,25.0,0.01,0.6267172542310147,0.37328274576898535,129.74664488301212,129.34842399515074,130.15012980280085,-0.39822088786138465,0.40348491978872403,-1.6034116153002174,-40.085290382505434
BT_36_H,36,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,25.0,0.05,0.6267172542310147,0.37328274576898535,129.74664488301212,127.8058985565935,131.8191828255363,-1.940746326418619,2.0725379425241783,-1.6053137075771189,-40.132842689427974
BT_36_V,36,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,4.0,0.01,0.01300729404703033,0.9869927059529696,291.76607437158395,291.6468590495632,291.8841207590462,-0.11921532202075014,0.11804638746224327,-2.965771368537415,-11.86308547414966
BT_36_V,36,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,4.0,0.05,0.01300729404703033,0.9869927059529696,291.76607437158395,291.159034771981,292.34384105429183,-0.6070395996029561,0.5777666827078747,-2.962015705777074,-11.848062823108297
BT_36_V,36,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,10.0,0.01,0.09305575573554944,0.9069442442644505,270.63328048581496,270.2949779680961,270.9728324451263,-0.338302517718887,0.3395519593113363,-3.3892723851511284,-33.892723851511285
BT_36_V,36,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,10.0,0.05,0.09305575573554944,0.9069442442644505,270.63328048581496,268.95439316104347,272.3433607176484,-1.6788873247714946,1.7100802318334445,-3.388967556604939,-33.88967556604939
BT_36_V,36,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,25.0,0.01,0.23826068787688026,0.7617393121231197,232.2991784005036,231.82388144239363,232.77843103845476,-0.47529695810996486,0.4792526379511628,-1.9090991921222553,-47.72747980305638
BT_36_V,36,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,25.0,0.05,0.23826068787688026,0.7617393121231197,232.2991784005036,229.9611640808138,234.7361356645701,-2.3380143196897905,2.436957264066507,-1.909988633502519,-47.749715837562974
BT_89_H,89,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,4.0,0.01,0.27211517919682526,0.7278848208031747,228.7740846807143,228.2636172320232,229.29017672708287,-0.5104674486911165,0.5160920463685557,-12.831993688245891,-51.327974752983565
BT_89_H,89,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,4.0,0.05,0.27211517919682526,0.7278848208031747,228.7740846807143,226.27592687500427,231.41299733924652,-2.4981578057100364,2.638912658532206,-12.842676160605595,-51.37070464242238
BT_89_H,89,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,10.0,0.01,0.4675802362553282,0.5324197637446718,184.79444684255117,184.35809125793517,185.23620182205212,-0.43635558461599544,0.4417549795009563,-4.390552820584775,-43.905528205847745
BT_89_H,89,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,10.0,0.05,0.4675802362553282,0.5324197637446718,184.79444684255117,182.66443518661936,187.0596211836055,-2.13001165593181,2.265174341054319,-4.395185996986129,-43.95185996986129
BT_89_H,89,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,25.0,0.01,0.6267172542310147,0.37328274576898535,148.98861779802172,148.64922499586714,149.33249699102345,-0.33939280215457757,0.343879193001726,-1.366543990312607,-34.16359975781518
BT_89_H,89,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,25.0,0.05,0.6267172542310147,0.37328274576898535,148.98861779802172,147.33457263346037,150.75498536267298,-1.654045164561353,1.7663675646512615,-1.3681650916850459,-34.204127292126145
BT_89_V,89,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,4.0,0.01,0.01300729404703033,0.9869927059529696,287.0733588394181,286.97175487178686,287.1739665560053,-0.101603967631263,0.10060771658720569,-2.5276460527308564,-10.110584210923426
BT_89_V,89,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,4.0,0.05,0.01300729404703033,0.9869927059529696,287.0733588394181,286.55599554430205,287.5657736258169,-0.5173632951160698,0.4924147863987969,-2.5244452037871645,-10.097780815148658
BT_89_V,89,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,10.0,0.01,0.09305575573554944,0.9069442442644505,269.06245495950134,268.7741289500819,269.35184583391447,-0.28832600941944975,0.2893908744131295,-2.8885844191629064,-28.885844191629065
BT_89_V,89,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,10.0,0.05,0.09305575573554944,0.9069442442644505,269.06245495950134,267.6315850804348,270.51990970254127,-1.430869879066563,1.457454743039932,-2.888324622106495,-28.88324622106495
BT_89_V,89,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,25.0,0.01,0.23826068787688026,0.7617393121231197,236.39134522770195,235.98626259294912,236.79979918050122,-0.40508263475283,0.40845395279927743,-1.627073175104215,-40.67682937760537
BT_89_V,89,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.75,25.0,0.05,0.23826068787688026,0.7617393121231197,236.39134522770195,234.39871938705724,238.46829744139498,-1.9926258406447062,2.0769522136930334,-1.6278312217350959,-40.695780543377396
